,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
20,20,addr_state:IL_KS,0.24853535984234087,2.03305843683633e-18,addr_state,18.639193207221755,19.0,0.360806792778245,19.0
21,21,addr_state:OR_MT_WI,0.219747414836649,4.54681155263715e-10,addr_state,16.48020838775643,16.0,-0.4802083877564307,16.0
22,22,addr_state:GA_MN_IN_WA,0.12083155703393246,4.39614733701839e-08,addr_state,9.061900642683574,9.0,-0.06190064268357354,9.0
23,23,addr_state:DE_MA_UT_KY,0.09162266635385091,0.0013523178787285303,addr_state,6.871346521531477,7.0,0.12865347846852337,7.0
24,24,addr_state:PA_SD_OH,0.13393921842441592,1.2312883534608671e-08,addr_state,10.044924681222977,10.0,-0.04492468122297666,10.0
25,25,addr_state:NM_AZ_RI_MI_AR_TN,0.05989641176035359,0.00776074638088581,addr_state,4.491999818169714,4.0,-0.49199981816971405,4.0
26,26,purpose:vacation_major_purch__car__home_impr,0.13706417960954428,2.7053848986444442e-08,purpose,10.279284714868192,10.0,-0.27928471486819184,10.0
27,27,term:36,0.07714539814123735,3.963783250120198e-08,term,5.785607254898146,6.0,0.21439274510185413,6.0
28,28,emp_length:1-4,0.13174214798401948,2.9595812661097333e-13,emp_length,9.880152873885773,10.0,0.11984712611422665,10.0
29,29,emp_length:5-6,0.08673994609314693,4.756791098149867e-05,emp_length,6.505161338168393,7.0,0.49483866183160696,7.0
30,30,emp_length:7-9,0.07640756598134672,0.0002322830644887881,emp_length,5.730272689259571,6.0,0.26972731074042944,6.0
31,31,emp_length:10,0.14108763245182424,1.6452934255545748e-14,emp_length,10.58102815666647,11.0,0.4189718433335301,11.0
32,32,mths_since_issue_d:<38,1.1165621985349965,5.839114513532557e-197,mths_since_issue_d,83.73785750074407,84.0,0.2621424992559298,84.0
33,33,mths_since_issue_d:38-39,0.9201185249850367,1.0224512288380578e-168,mths_since_issue_d,69.00533981007497,69.0,-0.005339810074971751,69.0
34,34,mths_since_issue_d:40-41,0.800567796426249,9.417551172900527e-136,mths_since_issue_d,60.03949636194384,60.0,-0.039496361943839986,60.0
35,35,mths_since_issue_d:42-48,0.6005347100597721,5.540069535563396e-99,mths_since_issue_d,45.037786557001816,45.0,-0.03778655700181588,45.0
36,36,mths_since_issue_d:49-52,0.4367960787618687,1.4277080875027246e-46,mths_since_issue_d,32.75802086819325,33.0,0.241979131806751,33.0
